词	TF	IDF	Raw_Score	Final_Score
2005	0.307531	7.807307	5.579372	0.730545
年	1.700904	5.508376	5.388966	0.715401
无线	4.382018	2.724342	3.768786	0.556764
移动	4.466590	2.713575	3.766517	0.556503
互联网	2.286421	4.870163	5.168585	0.696994
领域	3.110642	3.848755	4.620560	0.646984
几个	1.639591	5.459788	5.344240	0.711743
热点问题	0.621129	6.891626	5.556682	0.728777
产业	0.298500	7.402045	5.405279	0.716726
发展	3.018259	3.867225	4.619855	0.646915
角度	3.152292	3.712580	4.520193	0.637152
出发	2.364169	4.417836	4.894678	0.672766
提出	6.335118	0.945386	1.139976	0.187742
网络	5.804606	1.623751	2.426078	0.383662
作者	1.218553	5.795044	5.374486	0.714221
认为	0.923881	6.199494	5.438174	0.719382
广带	0.173281	7.807307	5.293795	0.707569
无线网络	2.702141	4.385448	4.939085	0.676797
(	5.379357	1.781658	2.647388	0.414665
WiMAX	0.687951	6.891626	5.607579	0.732730
)	5.386088	1.775832	2.638841	0.413484
3G	1.171973	6.104387	5.510420	0.725141
移动网	0.747910	6.709508	5.569161	0.729751
固网	0.173281	7.807307	5.293795	0.707569
融合	3.836611	3.256142	4.228604	0.607385
CNGI	0.302673	7.402045	5.412190	0.717286
会	2.887068	3.857945	4.590722	0.644083
成为	2.212657	4.540481	4.943352	0.677183
研究	5.526961	1.722366	2.565880	0.403353
开发	2.593318	4.417836	4.940595	0.676934
应用	5.075129	2.050267	3.016308	0.464252
部门	0.173281	7.807307	5.293795	0.707569
工作	3.231209	3.636398	4.470912	0.632248
重点	2.073308	4.794782	5.073438	0.688750
取得	2.696102	4.063046	4.710741	0.655638
成果	1.400024	5.795044	5.443587	0.719817
WCDMA	1.513360	5.863834	5.517601	0.725708
系统	5.957485	1.473420	2.175602	0.347502
中	6.219237	1.163795	1.595532	0.259826
Internet	1.971297	5.247226	5.317363	0.709525
访问	2.390188	4.659417	5.058731	0.687459
性能	5.576081	1.604734	2.375677	0.376475
优化	5.011636	2.170722	3.173806	0.484592
提高	5.199926	1.783332	2.634251	0.412850
进行	5.934483	1.295792	1.840591	0.297491
一种	6.158819	1.107231	1.474468	0.240914
代理	2.786357	4.503842	5.033696	0.685252
新机制	0.757196	6.709508	5.575308	0.730229
运用	2.937269	3.934822	4.657869	0.650585
排队	2.440574	4.659417	5.069095	0.688369
建立	4.364799	2.480442	3.492979	0.524236
解析	2.363499	4.559328	4.988437	0.681230
模型	5.739400	1.635832	2.441211	0.385811
分析	5.818191	1.427658	2.081796	0.333682
充分利用	2.508536	4.251709	4.809994	0.664967
数据业务	1.460557	5.863834	5.499915	0.724310
延时	2.446494	4.598146	5.030842	0.685000
敏感	2.243390	4.680721	5.040840	0.685883
特性	4.541575	2.470300	3.500309	0.525121
降低	4.563826	2.312719	3.311495	0.501955
利用率	3.157603	3.681371	4.495979	0.634749
前提	2.816214	3.924869	4.629503	0.647850
缩短	1.608610	5.247226	5.216227	0.701054
平均	3.925881	2.948109	3.946793	0.576897
